rota,aktarma_sayısı,avg_pricekm,median_price,min_price,max_price,std_price
OAK-JFK,22287,0.22558587971951058,0.21588340486409158,0.06982017200938233,1.332852725164283,0.07893370630225326
OAK-LAX,31938,0.3147495140048162,0.33204022988505744,0.021257183908045978,1.2384615384615385,0.14471357773131846
OAK-LGA,79120,0.2780786305263882,0.2632277834525026,0.085045742434905,1.4864295977011495,0.1019458386905454
OAK-MIA,35381,0.27312131899227077,0.2623842392867414,0.06166980067694622,1.2554597701149424,0.08526341423801312
OAK-ORD,39913,0.27101937309579793,0.2676580459770115,0.05430316091954023,1.187384448069603,0.07814034304975813
OAK-PHL,41494,0.2576925083306062,0.2554613297150611,0.049394422310756976,0.9040460134867115,0.07926814142905408
OAK-SFO,36736,0.4881951805762298,0.462629246676514,0.1159141376757957,1.9477104874446085,0.14972468095078367
ORD-ATL,31913,0.33233150233115927,0.2905600539811066,0.03073994252873563,2.864333333333333,0.19518660836186172
ORD-BOS,20577,0.28648629582128105,0.2557520480091446,0.04745689655172414,2.7396867749419953,0.13578228467209716
ORD-CLT,36993,0.3063109981304863,0.29155405405405405,0.06477011494252874,3.4824324324324323,0.16005575579940992
ORD-DEN,21408,0.34923346765218133,0.3306755260243633,0.10865989356555394,2.191140642303433,0.11702854022400355
ORD-DFW,41908,0.2985674083049981,0.2748435544430538,0.05214798850574713,2.815519399249061,0.13607123523096232
ORD-DTW,4737,0.7935099072046128,0.7566666666666666,0.07725752508361204,5.456666666666666,0.37028710098049306
ORD-EWR,24159,0.31379975069622884,0.27944827586206894,0.047327586206896546,2.0814027777777775,0.15126358510810145
ORD-IAD,36254,0.4091062693814253,0.363851030110935,0.0825048076923077,2.1861952861952862,0.18680122158932885
ORD-JFK,54901,0.4864527279852665,0.5010880316518299,0.061494252873563214,2.3425,0.1735134259005444
ORD-LAX,48966,0.217311282938999,0.20079954311821818,0.07082614942528735,1.628721174004193,0.0674613261899866
ORD-LGA,18005,0.26608391746489557,0.23972222222222223,0.040143678160919544,2.905,0.1306998621386606
ORD-MIA,42308,0.18856281372563327,0.1627677100494234,0.02204741379310345,2.1565436241610736,0.11209972625910128
ORD-OAK,30334,0.25861479153378086,0.26025557368134855,0.05430316091954023,1.1402292860865033,0.07693090249595941
ORD-PHL,23659,0.3490224809624588,0.3015029761904762,0.04745689655172414,3.2285714285714286,0.16288408085684414
ORD-SFO,29983,0.2417272276679559,0.22826204656199242,0.07553256238587948,1.4231727125067677,0.083778019317935
PHL-ATL,26738,0.3298140800978603,0.3103397341211226,0.02943965517241379,2.4401949025487255,0.19123749485749697
PHL-BOS,12946,0.6864713121501477,0.495,0.0351867816091954,6.845,0.49079834121576055
PHL-CLT,37561,0.3949525937146131,0.34857594936708863,0.038785919540229884,4.678418708240534,0.24533952598366912
PHL-DEN,41459,0.2883685232879003,0.2714920634920635,0.037473873873873874,3.2992559523809524,0.1281267522648162
PHL-DFW,54423,0.2603287451847147,0.23698844323589396,0.04745689655172414,1.7500770416024654,0.11373128417567038
PHL-DTW,24939,0.4424276574934547,0.3995525727069351,0.039511494252873564,3.6411856823266215,0.2668307217346285
PHL-EWR,47695,0.6295896118255088,0.3974849094567405,0.08376436781609195,10.799999999999999,0.7062117853952787
PHL-IAD,30330,0.5663091499711583,0.464908940397351,0.1268562401263823,3.872955974842767,0.3745467717133247
PHL-JFK,23329,0.5043982218914723,0.4387323943661972,0.08778735632183908,2.435632183908046,0.25252648219507196
PHL-LAX,67252,0.20932866945012593,0.2000834376303713,0.06047257105089227,1.553720238095238,0.06865426802578241
PHL-LGA,73874,0.3931273900713492,0.32602150537634406,0.05936599423631124,2.067816091954023,0.23157279343411308
PHL-MIA,42519,0.21651444440991718,0.19940944881889763,0.02204741379310345,2.5458661417322834,0.12015861245927827
PHL-OAK,38559,0.26863785996403977,0.2696535244922342,0.07585488505747126,0.9425287356321839,0.07729197481509587
PHL-ORD,19687,0.3423194040626423,0.3014880952380952,0.04745689655172414,3.2285714285714286,0.1648484930076392
PHL-SFO,58683,0.25346670762885404,0.2243754197447952,0.05430535966149506,3.528422619047619,0.17679851726066473
SFO-ATL,51971,0.2500895195114057,0.2433318890814558,0.04349375289217954,1.1023576512455515,0.07386190742475571
SFO-BOS,62896,0.23416272252309495,0.21875599852344038,0.04988880652335063,1.2274082151944747,0.08342666205386244
SFO-CLT,67294,0.2598189310550521,0.2495695652173913,0.060152560842717036,1.2890924956369982,0.08687888182260606
SFO-DEN,42107,0.32472674196262563,0.3051306873184898,0.061834381551362685,1.8979035639412998,0.1400801113938632
SFO-DFW,25326,0.27404710531171816,0.250534255185418,0.047375311720698254,1.5010899182561308,0.123791547902906
SFO-DTW,58099,0.2853670766165637,0.2646848457755923,0.03497008743672342,3.1698426707597855,0.12610544741301924
SFO-EWR,44608,0.22579903666915116,0.20876436781609198,0.044427653947865506,2.4602011494252873,0.08899813170443624
SFO-IAD,47304,0.24827174798926796,0.2380727272727273,0.08278167836843865,1.6778735632183908,0.07365764520634371
SFO-JFK,16404,0.24751881056483974,0.1982112236944661,0.03842556508183944,3.414224137931035,0.17711352891750248
SFO-LAX,10834,0.5265637342455606,0.4686813186813187,0.03132183908045977,5.969321533923304,0.28286936126522927
SFO-LGA,94572,0.2380863415025378,0.2291432584269663,0.04933887419720438,1.3251227805062333,0.08240454394914705
SFO-MIA,67279,0.21353475304502614,0.20479564032697548,0.04975476839237057,1.1636754453911697,0.07001727361108755
SFO-OAK,32742,0.5258840256762899,0.5341211225997046,0.12012212643678162,1.9477104874446085,0.14301579280461318
SFO-ORD,40767,0.2951679044949641,0.27744721689059504,0.08186546463245492,1.6189655172413793,0.10800072545412437
SFO-PHL,56694,0.2517498646043309,0.24497469269703545,0.06152451309603761,2.4854297693920335,0.08440726312833567
