route,lead_time_bucket,flight_count,avg_price,median_price,min_price,max_price,std_price
ATL-JFK,4-7,3766,351.0865639936272,297.6,68.6,1002.71,152.2406517438207
ATL-JFK,8-14,6779,349.2477946599794,298.6,89.6,1461.61,150.42930063601048
ATL-JFK,15-30,12826,331.72409714642134,297.1,89.6,1546.11,139.25647044352894
ATL-JFK,31-60,18492,321.96007192299373,270.1,89.6,1199.59,150.23655239108987
ATL-LAX,0-3,6906,493.5921894005213,479.58,266.58,2118.6,125.46918179435262
ATL-LAX,4-7,9170,483.2995670665213,488.19,193.99,2138.6,113.14224881212449
ATL-LAX,8-14,15944,468.31008906171604,482.59,176.58,2148.6,123.84082263926908
ATL-LAX,15-30,26447,467.1070926759179,477.21,93.99,2181.6,134.07374675463294
ATL-LAX,31-60,40345,449.70291733796006,453.6,75.99,1018.6,128.3597885840916
ATL-LGA,0-3,4757,255.17766659659446,244.6,77.6,2066.61,93.54178225273623
ATL-LGA,4-7,6276,241.3389770554493,223.98,65.99,1134.6,78.1905501271383
ATL-LGA,8-14,10739,230.081129527889,207.6,65.99,1661.61,88.11619400533652
ATL-LGA,15-30,18982,226.37925561057847,208.21,55.99,1241.61,86.92208723173563
ATL-LGA,31-60,29441,223.4195699874325,206.61,43.98,833.6,84.03968278437567
ATL-MIA,0-3,2580,357.42828294573644,316.59,84.99,2049.6,224.62939553043373
ATL-MIA,4-7,3767,304.28707194053624,298.6,64.59,2049.6,135.86198991246582
ATL-MIA,8-14,6768,285.5098611111111,268.6,30.69,1171.6,141.60544298174258
ATL-MIA,15-30,11816,297.03461831415035,274.6,30.69,1371.61,156.23019298747556
ATL-MIA,31-60,18663,292.83926485559664,244.6,30.69,1761.61,178.23740596340303
ATL-OAK,0-3,2576,622.9036840062113,602.11,283.58,1912.0,194.01688842568328
ATL-OAK,4-7,3510,608.495962962963,607.21,220.68,2187.1,210.05273920115664
ATL-OAK,8-14,6525,606.1127770114942,637.6,181.58,2347.11,239.00760569775525
ATL-OAK,15-30,12093,646.8494269412057,667.6,137.78,2232.1,265.42519400659944
ATL-OAK,31-60,19393,627.7121595421029,627.6,128.78,1957.11,250.75812471634973
ATL-ORD,0-3,3644,308.55662184412733,250.6,110.59,1726.1,182.35853094006745
ATL-ORD,4-7,4517,330.6003365065309,271.58,110.59,1718.6,184.45359689488268
ATL-ORD,8-14,7307,331.47544820035586,278.6,81.59,1718.6,172.10654732024676
ATL-ORD,15-30,11083,301.97105567084725,278.6,42.79,1718.6,113.41069066441504
ATL-ORD,31-60,18377,288.55773466833546,278.6,42.79,1007.43,104.91132403530126
